learner,percentage,auc,logloss,brier,timeboth
classif.binomial,0.1,0.794744536432042,0.51174975038632,0.176224501727376,3.11866666666659
classif.binomial,0.2,0.794801762465515,0.511492527553777,0.176177994541503,5.07566666666632
classif.binomial,0.4,0.794984144318785,0.511338261038815,0.176158277655167,10.8556666666627
classif.binomial,0.7,0.795009960719078,0.511299923134321,0.176120882961487,21.4123333333385
classif.binomial,1,0.795007437625762,0.511272800047913,0.176099709471085,28.8323333333343
classif.blackboost,0.1,0.824187789152997,0.483964150251615,0.16448475814613,15.966333333335
classif.blackboost,0.2,0.825914884781539,0.481872551943835,0.163625180930824,25.7690000000099
classif.blackboost,0.4,0.824696741821409,0.483327207440245,0.164289089732949,56.3863333333381
classif.blackboost,0.7,0.824879734768043,0.483412400233446,0.164284756351495,91.107666666668
classif.blackboost,1,0.825241305904513,0.482996602990792,0.164122178176824,127.159000000005
classif.C50,0.1,0.808719126569213,0.516969729505756,0.174363507245695,20.5733333333337
classif.C50,0.2,0.815656676103713,0.503594370364834,0.170216665182408,26.0080000000016
classif.C50,0.4,0.822269865305445,0.497864011218943,0.167859069193795,42.2636666666755
classif.C50,0.7,0.828314357197537,0.487165428032311,0.164286348679198,70.4626666666688
classif.C50,1,0.830195821052404,0.485006411681759,0.163460298521693,90.0640000000082
classif.cvglmnet,0.1,0.790766793490571,0.514280971203823,0.177258584509327,68.9996666666702
classif.cvglmnet,0.2,0.792001267184749,0.513211253132073,0.176879332283537,217.172333333336
classif.cvglmnet,0.4,0.792745744297617,0.512503250275692,0.176634095864807,581.938
classif.cvglmnet,0.7,0.792698973121841,0.512561122259721,0.176674383728419,679.976333333335
classif.cvglmnet,1,0.79302730954042,0.512333659668783,0.176573418425072,629.268000000001
classif.dbnDNN,0.1,0.684720267306541,0.596441087380913,0.20444213765155,2.36599999999938
classif.dbnDNN,0.2,0.68387128961211,0.605796261746304,0.208109207807976,4.09299999999833
classif.dbnDNN,0.4,0.683501364695405,0.599057560567331,0.205732274307407,5.3083333333343
classif.dbnDNN,0.7,0.683279511276029,0.59524327674475,0.204176916650095,9.78900000000431
classif.dbnDNN,1,0.683244520956793,0.597606563374619,0.205222944395013,16.6459999999982
classif.earth,0.1,0.823952094004279,0.482218489043241,0.164330542506396,4.31633333333593
classif.earth,0.2,0.823508373262113,0.482594455096764,0.164442648197868,5.95300000000376
classif.earth,0.4,0.82569227068557,0.479056401497755,0.163324063606851,14.3859999999986
classif.earth,0.7,0.823911608613233,0.481363733093158,0.164141026833956,18.6036666666623
classif.earth,1,0.823928700140139,0.481725370384577,0.164212658901743,28.7633333333312
classif.featureless,0.1,0.5,0.658537594771334,0.232895524608144,0.273666666665425
classif.featureless,0.2,0.5,0.658542941056006,0.232898011824695,0.306333333331471
classif.featureless,0.4,0.5,0.658527362614323,0.232890773269856,0.387000000002445
classif.featureless,0.7,0.5,0.658528494257451,0.232891300384869,0.390333333334032
classif.featureless,1,0.5,0.658526721509826,0.232890474809108,0.557000000000699
classif.gamboost,0.1,0.803573408039616,0.504778840148049,0.172587361075864,59.4473333333396
classif.gamboost,0.2,0.804023491687012,0.504374797489115,0.172428187126832,68.1273333333326
classif.gamboost,0.4,0.80392424001075,0.504093753984342,0.172389018902292,74.6146666666706
classif.gamboost,0.7,0.804059654308502,0.503994845581849,0.172353323561437,96.3840000000006
classif.gamboost,1,0.804012803857644,0.504022889138203,0.172355539090801,114.573999999998
classif.gbm,0.1,0.744693521026382,0.643827393878291,0.226086900330211,2.58566666666593
classif.gbm,0.2,0.740731134501756,0.644032731677705,0.226185180406275,4.53866666666484
classif.gbm,0.4,0.739642784238814,0.644121419148488,0.226220076486845,8.79999999999806
classif.gbm,0.7,0.738557678763126,0.644135644953477,0.226229022673186,17.8256666666566
classif.gbm,1,0.738593660638935,0.644135674732898,0.226226163027265,29.0670000000003
classif.glmboost,0.1,0.77362632170039,0.536504592500085,0.183889137933821,1.64266666666178
classif.glmboost,0.2,0.773504470123372,0.536347577341107,0.183874798941691,2.67866666666911
classif.glmboost,0.4,0.773578790011562,0.536548884016918,0.183896491931541,4.82099999999628
classif.glmboost,0.7,0.77345867813698,0.536510774765799,0.183912992167804,7.95266666665945
classif.glmboost,1,0.773646930819084,0.536429740923348,0.183855404658334,12.2260000000048
classif.glmnet,0.1,0.782505657456318,0.524872827265135,0.18027654240838,5.29933333333853
classif.glmnet,0.2,0.783003524430308,0.524686273526392,0.180160538985568,10.0536666666691
classif.glmnet,0.4,0.783045287587703,0.524413024414003,0.18011217509869,21.2543333333354
classif.glmnet,0.7,0.782791725013867,0.52461766195369,0.180196216932476,40.8553333333257
classif.glmnet,1,0.782845758876855,0.524567636787645,0.180167056360869,61.6460000000031
classif.h2o.deeplearning,0.1,0.844306346914555,0.454854882557112,0.154897069748758,71.5806666666613
classif.h2o.deeplearning,0.2,0.851136898063724,0.445542845160737,0.151392824563628,89.4290000000037
classif.h2o.deeplearning,0.4,0.854881072258586,0.440001549216097,0.149199847709348,134.42800000001
classif.h2o.deeplearning,0.7,0.858502700828408,0.435045927890825,0.147344373544299,206.443000000004
classif.h2o.deeplearning,1,0.857693242537995,0.435462174171898,0.147612784936755,222.935333333337
classif.h2o.gbm,0.1,0.8413274875898,0.460093530425982,0.1558079100986,19.4539999999931
classif.h2o.gbm,0.2,0.843461470202888,0.457708069736047,0.15488055227853,22.9733333333328
classif.h2o.gbm,0.4,0.844780355265011,0.456385163870478,0.154347115637656,29.5523333333258
classif.h2o.gbm,0.7,0.84511414393439,0.456111026680101,0.154213833704227,40.2050000000066
classif.h2o.gbm,1,0.845281934476306,0.455763289997223,0.154125359997412,49.673333333325
classif.h2o.glm,0.1,0.793012649469214,0.512581813103974,0.176642339167765,13.24533333333
classif.h2o.glm,0.2,0.793292971330955,0.51215894234009,0.176536594329704,14.6296666666652
classif.h2o.glm,0.4,0.793411520763656,0.512139591895568,0.176456541170437,16.496333333329
classif.h2o.glm,0.7,0.793522698496434,0.512045197656045,0.176420966096594,22.5343333333343
classif.h2o.glm,1,0.793653412798204,0.511937918400581,0.176387872935656,29.9956666666694
classif.h2o.randomForest,0.1,0.845221656642748,0.460303896889169,0.153937617282839,12.3103333333333
classif.h2o.randomForest,0.2,0.851636250076844,0.449815012901378,0.150872530053802,14.1663333333333
classif.h2o.randomForest,0.4,0.85706856832327,0.442869448802204,0.148369263270539,19.767
classif.h2o.randomForest,0.7,0.861507144628152,0.436085195511945,0.146322563978482,27.1346666666667
classif.h2o.randomForest,1,0.864427270031376,0.431167304375524,0.144960708202127,34.4956666666668
classif.IBk,0.1,0.676253562779278,3.03101068640424,0.303714195681919,243.445
classif.IBk,0.2,0.681011731764491,3.19585907760707,0.299449375515367,589.667333333333
classif.IBk,0.4,0.687853480393432,3.33096210950411,0.293081085929713,1254.73766666667
classif.IBk,0.7,0.695686885879235,3.41508859486501,0.286384071117701,2768.68033333333
classif.IBk,1,0.700255654915233,3.4648234114082,0.282115418653776,4825.48066666667
classif.J48,0.1,0.715736490142083,4.24497379540344,0.233872648470449,2.6406666666638
classif.J48,0.2,0.70828247012719,4.5161336809424,0.23611779655531,6.1893333333331
classif.J48,0.4,0.718374094264135,4.25014314605081,0.229101872244689,18.9083333333329
classif.J48,0.7,0.726340325083713,4.16844144389616,0.224610596199194,50.1623333333312
classif.J48,1,0.724397730313227,4.26282505657299,0.224573224492385,94.3806666666666
classif.kknn,0.1,0.796885958324071,1.00794894087875,0.188162102902623,56.6006666666678
classif.kknn,0.2,0.80449967987598,0.98881333340973,0.184192433978113,110.271333333333
classif.kknn,0.4,0.812338670023438,0.990507970027242,0.180230366933076,206.363333333335
classif.kknn,0.7,0.81935749198566,0.983026246784625,0.176556113921843,358.230666666663
classif.kknn,1,0.823894255489971,0.973081282904159,0.174160480089401,522.962999999999
classif.ksvm,0.1,0.839837783507292,0.478894379463739,0.158566564735184,125.130000000002
classif.ksvm,0.2,0.84510655644116,0.469641951220436,0.155554903953461,369.363666666664
classif.ksvm,0.4,0.849626445532524,0.464317245749655,0.15355604270537,1252.17099999999
classif.ksvm,0.7,0.852475899770649,0.460172855171906,0.152139690281518,3582.13066666666
classif.ksvm,1,0.85424534409426,0.457534008251292,0.151254835377438,7272.043
classif.lda,0.1,0.793169297310348,0.520786155874755,0.177936258161205,0.771333333332829
classif.lda,0.2,0.793040058301656,0.520578436573943,0.177993932929707,1.06233333333512
classif.lda,0.4,0.793416241959103,0.52020732287063,0.177767973377762,1.4986666666664
classif.lda,0.7,0.793631820515084,0.520335594508603,0.177769091821624,1.96166666666007
